President,Year,Month,Day,Meeting Text,URL,Index,NARA Catalog,Locations,People,Notes,Diary Type,Image File Format,Machine Readable Text,Number of Pages
George Bush,1989,11,9,,,,,The White House,,"State Visit, State Dinner",The Daily Diary of President George Bush,PDF,N,
George Bush,1989,12,3,,,,,"USS Belknap, Malta, Brussels",,Malta Summit,Schedule of the President,PDF,N,
George Bush,1989,12,20,,,,,The White House,,,"Telephone Memorandum, Presidential Movements",PDF,N,
George Bush,1991,1,16,,,,,,,"President George Bush announces air strikes against Iraq, Beginning of the Gulf War",The Daily Diary of President George Bush,PDF,N,
George Bush,1990,7,26,,,,,The White House,,President George Bush Signs the Americans with Disabilites Act,Schedule of the President,PDF,N,
Franklin D. Roosevelt,1934,1,1,,,,,,,,White House Stenographer's Diary,JPG,N,
Franklin D. Roosevelt,1934,1,1,,,,,,,,White House Usher's Diary,JPG,N,
Franklin D. Roosevelt,1934,1,2,,,,,,,,White House Stenographer's Diary,JPG,N,
Franklin D. Roosevelt,1934,1,3,,,,,,,,White House Stenographer's Diary,JPG,N,
Franklin D. Roosevelt,1934,1,4,,,,,,,,White House Stenographer's Diary,JPG,N,
Franklin D. Roosevelt,1934,1,5,,,,,,,,White House Stenographer's Diary,JPG,N,
Franklin D. Roosevelt,1934,1,2,,,,,,,,White House Usher's Diary,JPG,N,
Franklin D. Roosevelt,1934,1,3,,,,,,,,White House Usher's Diary,JPG,N,
Franklin D. Roosevelt,1934,1,4,,,,,,,,White House Usher's Diary,JPG,N,
Franklin D. Roosevelt,1934,1,5,,,,,,,,White House Usher's Diary,JPG,N,
Harry S. Truman,1945,4,12,,,,,"Cabinet Room; Warm Springs, Georgia",,"President Franklin D. Roosevelt dies, Harry S. Truman sworn in as President.",Appointment Scans,JPG,N,
Harry S. Truman,1945,4,13,,,,,The White House,,,Appointment Scans,JPG,N,
Harry S. Truman,1945,4,14,,,,,"East Room, Union Station",,Funeral services for President Franklin D. Roosevelt in East Room.,Appointment Scans,JPG,N,
Harry S. Truman,1945,4,17,,,,,San Francisco Conference,,Signs the Lend-Lease Bill,Appointment Scans,JPG,N,
Harry S. Truman,1945,9,7,,,,,,,Admiral William D. Leahy presents President Truman with the Japanese surrender papers.,Appointment Scans,JPG,N,
